(1.804,2.763,1.229)
(1.428,1.667,1.501)
(7.071,1.471,4.245)
(4.561,7.649,5.135)
(1.648,2.304,2.753)
(7.917,2.888,5.152)
(3.891,8.144,6.71)
(3.437,8.124,6.91)
(3.169,8.969,5.828)
(7.932,1.492,4.171)
(2.25,1.822,2.553)
(3.292,7.744,6.732)
(1.286,1.926,1.009)
(7.161,1.058,5.795)
(2.386,1.947,1.216)
(2.709,1.019,2.385)
(4.487,8.058,6.044)
(3.319,7.131,6.246)
(8.978,2.281,4.577)
(8.693,1.643,5.586)
(4.425,8.223,5.718)
(2.987,2.766,1.341)
(3.968,7.809,6.454)
(1.221,2.168,2.668)
(4.383,8.99,5.338)
(3.962,7.661,6.234)
(2.517,1.093,1.172)
(7.873,2.599,5.561)
(1.173,2.701,1.007)
(1.831,2.709,2.64)
(3.195,7.054,5.132)
(4.856,7.462,6.978)
(7.25,4.1,3.87)
(4.737,7.44,6.325)
(4.072,7.115,6.148)
(7.795,2.012,5.706)
(8.932,2.383,4.025)
(8.746,2.886,4.379)
(3.186,8.646,6.148)
(4.767,8.75,6.806)
(3.698,7.568,5.162)
(7.934,1.587,5.104)
(1.456,2.113,1.536)
(1.055,2.495,1.319)
(2.675,1.765,1.692)
(2.625,2.178,2.232)
(3.44,7.459,5.18)
(4.565,7.488,5.14)
(1.377,1.087,2.931)
(4.08,8.9,8.41)
(2.172,2.422,1.373)
(1.401,1.786,1.182)
(4.133,7.837,6.599)
(8.553,1.554,5.439)
(7.307,1.716,5.644)
(3.875,7.982,6.387)
(4.354,8.139,5.387)
(8.477,2.31,5.066)
(4.929,8.055,6.864)
(8.343,1.241,5.428)
(3.682,8.326,6.475)
(3.62,8.996,6.676)
(4.221,7.368,5.94)
(1.242,1.232,1.318)
(1.028,1.788,2.708)
(7.577,1,4.422)
(3.5,7.14,5.423)
(2.309,2.765,2.207)
(4.493,7.427,6.27)
(2.037,2.557,1.899)
(7.275,2.041,5.724)
(8.174,1.518,5.345)
(3.538,7.886,5.768)
(4.353,8.962,5.142)
(3.212,8.871,5.982)
(3.481,8.045,6.007)
(1.41,2.04,6.58)
(1.761,2.425,1.215)
(3.755,8.449,6.937)
(4.191,8.483,6.604)
(7.072,2.268,4.723)
(1.104,2.659,1.673)
(3.446,8.795,5.994)
(4.69,7.072,5.815)
(4.385,7.392,5.298)
(1.627,2.144,2.407)
(4.001,7.526,5.078)
(2.427,1.138,2.007)
(1.356,2.013,2.374)
(8.74,1.531,4.513)
(7.891,2.861,4.769)
(7.616,2.566,5.841)
(7.694,2.079,5.872)
(4.379,8.391,5.97)
(7.563,2.45,4.605)
(7.922,2.657,4.044)
(3.805,7.311,5.48)
(7.03,8.57,6.35)
(3.165,8.383,6.598)
(1.243,2.011,2.803)
(3.961,7.268,5.524)
(7.61,1.036,4.149)
(2.636,2.4,2.48)
(4.101,7.064,5.677)
(1.257,2.202,1.035)
(2.151,1.337,1.743)
(1.006,1.082,2.296)
(1.577,1.577,1.442)
(7.088,1.432,5.227)
(1.994,2.013,2.041)
(7.769,2.876,5.437)
(8.185,1.264,4.319)
(8.137,2.589,5.256)
(7.78,2.044,4.332)
(3.445,8.219,5.845)
(3.346,8.805,5.51)
(8.593,1.44,4.291)
(8.439,2.105,4.442)
(4.456,7.681,5.105)
(7.673,1.084,5.086)
(2.445,1.323,2.941)
(7.406,2.491,4.234)
(1.25,1.297,1.675)
(3.579,8.76,6.942)
(2.953,1.793,1.158)
(1.162,2.455,2.318)
(8.206,2.646,4.745)
(2.697,1.104,1.02)
(3.29,4.47,2.03)
(3.01,7.485,6.276)
(1.666,1.77,2.97)
(8.797,1.551,5.756)
(1.54,7.94,3.62)
(7.451,2.12,4.374)
(4.07,8.526,6.594)
(3.092,8.004,6.36)
(4.414,7.439,6.748)
(7.043,2.066,5.839)
(8.468,2.536,4.743)
(2.689,1.522,2.24)
(1.441,1.745,1.76)
(1.699,2.042,2.913)
(7.734,1.117,4.514)
(4.698,8.109,6.028)
(2.443,1.839,1.582)
(3.207,8.56,6.842)
(8.13,1.028,5.946)
(3.63,8.746,5.662)
(2.425,1.422,2.566)
(2.75,2.221,2.194)
(7.825,1.288,5.497)
(3.813,7.802,6.674)
(1.209,2.173,1.7)
(8.865,1.218,5.568)
(1.166,2.957,2.445)
(8.648,2.513,5.312)
(1.032,2.514,2.534)
(4.751,8.656,6.561)
(3.003,8.665,6.206)
(7.992,2.552,4.492)
(8.282,1.685,5.556)
(2.15,2.09,2.523)
(3.686,7.169,6.018)
(4.28,6.02,1.58)
(3.563,7.026,6.397)
(3.008,8.93,5.018)
(4.895,8.281,6.127)
(8.807,2.482,4.172)
(1.481,2.275,2.101)
(1.329,2.379,2.34)
(1.058,1.967,2.944)
(2.823,2.605,1.783)
(3.681,7.797,5.194)
(4.498,7.107,5.335)
(1.21,4.58,3)
(4.844,7.842,5.331)
(7.38,1.088,4.846)
(8.398,1.632,5.73)
(3.026,8.566,5.315)
(7.852,2.532,5.595)
(1.129,2.549,2.575)
(8.565,1.544,5.545)
(7.741,2.586,4.803)
(3.104,8.816,6.726)
(4.218,8.403,6.695)
(3.423,8.128,6.706)
(4.469,8.096,6.559)
(7.825,1.611,5.694)
(3.85,7.138,6.111)
(8.186,1.625,5.282)
(7.085,2.221,5.651)
(2.939,1.706,1.095)
(3.287,7.679,5.073)
(7.418,1.137,4.676)
(3.484,7.502,6.975)
(7.786,1.6,5.636)
(3.422,8.193,6.51)
(2.353,2.087,1.942)
(1.008,1.069,2.574)
(4.261,8.499,6.243)
(7.699,1.651,5.673)
(1.497,2.618,1.628)
(2.731,2.225,1.358)
(3.464,8.246,5.182)
(4.186,7.638,6.205)
(3.709,8.244,6.774)
(4.626,7.545,6.9)
(1.96,2.659,2.079)
(3.341,8.768,6.122)
(7.969,2.79,5.77)
(1.354,2.767,1.701)
(4.792,7.235,6.151)
(8.313,1.887,4.642)
(7.267,2.958,4.131)
(1.04,1.827,2.756)
(8.377,2.695,4.211)
(1.046,2.093,2.929)
(8.004,1.014,5.929)
(1.829,2.061,1.808)
(1.125,1.624,2.025)
(4.997,8.847,6.245)
(3.26,8.608,6.691)
(1.963,2.14,1.19)
(8.333,2.432,4.697)
(2.044,2.114,1.494)
(8.496,2.445,5.159)
(1.645,1.163,1.845)
(2.449,2.355,2.609)
(7.32,2.94,4.79)
(2.718,1.888,1.626)
(8.839,2.288,5.808)
(4.631,8.837,6.711)
(7.863,2.681,4.603)
(8.376,2.635,4.909)
(3.371,7.975,5.159)
(2.342,1.218,2.871)
(4.359,7.746,5.78)
(2.76,1.716,2.845)
(7.805,2.616,4.005)
(7.955,1.953,4.279)
(4.323,7.83,5.531)
(1.602,2.94,1.638)
(1.459,1.347,2.791)
(1.86,2.066,2.674)
(7.817,1.785,5.033)
(7.97,1.578,4.286)
(8.815,2.864,4.161)
(7.353,1.564,5.371)
(4.522,8.927,5.965)
(8.746,2.508,4.208)
(7.677,2.308,5.511)
(4.106,7.607,5.059)
(2.845,2.378,2.029)
(2.581,1.046,1.821)
(4.48,8.491,5.05)
(7.919,1.49,4.907)
(3.294,7.507,5.245)
(8.36,8.69,1.16)
(8.106,2.067,5.383)
(8.901,1.429,4.245)
(4.96,8.774,5.143)
(3.315,7.559,6.71)
(1.34,1.694,2.695)
(2.602,2.443,1.683)
(3.273,8.299,6.199)
(1.48,2.037,1.475)
(6.68,6.54,6.58)
(2.48,1.282,1.057)
(4.612,8.732,6.389)
(3.344,7.468,6.408)
(3.106,7.372,6.396)
(3.387,8.729,6.764)
(2.195,1.749,1.003)
(8.552,1.777,4.279)
(2.682,2.68,1.146)
(2.678,2.053,2.799)
(2.233,1.921,2.149)
(7.47,2.218,4.637)
(2.159,1.112,2.181)
(2.86,5.27,7.15)
(4.118,8.52,6.457)
(2.548,2.599,2.296)
(4.476,8.13,5.373)
(7.02,1.66,4.934)
(7.491,2.51,4.517)
(4.956,8.912,5.488)
(3.72,3.85,3.75)
(3.382,7.191,6.199)
(1.748,1.33,2.565)
(8.718,2.251,5.403)
(7.074,1.158,4.758)
(1.699,2.39,1.065)
(3.143,7.896,6.09)
(3.363,8.396,5.063)
(8.497,1.991,5.765)
(3.112,8.269,6.194)
(3.194,8.245,6.819)
(4.233,7.694,5.312)
(3.478,7.998,5.46)
(6.71,8.88,2.69)
(1.813,2.517,1.298)
(5.95,5.12,8.36)
(1.741,1.982,2.691)
(4.037,8.619,6.845)
(3.784,8.051,6.164)
(8.632,2.748,5.948)
(1.612,2.637,1.995)
(2.077,1.71,1.62)
(3.795,8.307,6.324)
(8.446,2.745,5.625)
(1.302,2.833,1.817)
(3.379,8.597,6.551)
(3.053,7.649,6.392)
(1.697,1.678,2.719)
(1.202,1.191,1.614)
(3.212,7.412,5.397)
(3.802,8.525,5.809)
(4.436,7.014,5.163)
(4.342,8.522,6.823)
(3.512,7.404,6.712)
(3.434,8.516,6.616)
(4.701,8.672,6.899)
(1.455,2.317,2.178)
(2.478,1.507,2.281)
(8.21,2.16,3.06)
(8.426,2.537,5.171)
(3.123,8.637,5.326)
(3.829,7.291,5.536)
(8.073,2.1,5.326)
(1.498,2.534,1.52)
(1.537,2.308,2.256)
(4.427,8.623,5.452)
(3.05,2.03,1.66)
(2.839,2.341,1.268)
(4.746,7.344,6.244)
(4.893,8.569,5.866)
(2.795,1.616,1.727)
(3.95,8.648,6.718)
(1.955,2.408,1.646)
(1.348,1.571,2.321)
(4.888,7.034,5.788)
(3.629,7.857,6.644)
(4.225,8.77,6.198)
(7.804,2.462,4.581)
(6.77,2.3,4.44)
(4.738,7.196,5.979)
(4.218,7.949,5.698)
(4.851,7.252,6.68)
(7.782,2.379,4.153)
(8.086,2.051,4.26)
(3.086,7.795,6.468)
(1.292,1.404,2.158)
(2.426,1.759,1.447)
(8.292,2.215,4.869)
(4.323,7.911,5.058)
(2.882,1.55,1.258)
(7.257,1.221,5.093)
(1.929,1.887,1.371)
(3.668,8.517,6.034)
(1.956,1.739,2.229)
(3.109,7.971,6.349)
(3.691,7.676,6.338)
(1.039,2.238,1.331)
(7.248,2.428,5.664)
(3.478,7.983,6.612)
(7.712,2.265,5.283)
(7.18,2.473,5.414)
(1.911,2.461,2.117)
(3.842,8.805,6.817)
(3.236,7.926,5.736)
(8.583,2.573,5.523)
(2.889,1.436,2.82)
(8.24,2.976,4.477)
(7.471,2.405,4.972)
(3.244,7.753,5.668)
(4.6,7.112,5.1)
(2.688,2.111,2.238)
(7.655,2.821,4.903)
(1.043,2.411,1.424)
(7.557,1.995,5.268)
(3.521,7.133,5.187)
(8.178,2.855,4.968)
(4.614,7.059,5.555)
(7.001,1.862,4.1)
(2.063,2.838,1.554)
(2.961,1.515,2.703)
(4.133,7.762,5.718)
(3.58,7.051,5.737)
(2.798,1.552,2.285)
(3.728,8.882,5.764)
(3.887,7.053,6.341)
(8.514,1.706,4.771)
(4.695,7.639,5.936)
(2.643,1.133,2.175)
(3.355,7.362,5.204)
(4.402,7.124,6.487)
(7.337,1.275,4.031)
(7.839,2.63,5.282)
(4.169,8.687,6.755)
(4.044,8.045,5.887)
(2.22,2.817,1.089)
(1.938,1.405,1.476)
(8.602,2.774,4.901)
(8.733,1.998,4.661)
(1.453,1.499,1.078)
(3.625,7.441,6.06)
(3.232,7.282,6.517)
(8.434,2.01,4.711)
(4.269,7.484,6.2)
(3.44,7.636,6.748)
(4.203,7.603,5.344)
(1.281,2.921,2.567)
(3.661,7.15,5.813)
(1.435,2.225,1.716)
(7.074,2.885,4.287)
(1.93,1.813,1.371)
